,trade_date,price
426,19980622,12.42
427,19980623,12.14
428,19980624,12.0
429,19980625,11.7
430,19980626,11.53
431,19980629,11.32
432,19980630,11.55
433,19980701,11.36
434,19980702,11.65
435,19980703,11.67
436,19980706,11.74
437,19980707,11.78
438,19980708,12.5
439,19980709,12.63
440,19980710,12.52
441,19980713,12.37
442,19980714,12.47
443,19980715,12.98
444,19980716,12.7
445,19980717,12.59
446,19980720,12.18
447,19980721,11.99
448,19980722,11.85
449,19980723,11.8
450,19980724,11.95
451,19980727,11.5
452,19980728,11.68
453,19980729,11.5
454,19980730,11.3
455,19980731,11.48
456,19980803,11.23
457,19980804,10.88
458,19980805,11.02
459,19980806,10.87
460,19980807,10.5
461,19980810,10.01
462,19980811,10.04
463,19980812,10.0
464,19980813,10.07
465,19980814,9.61
466,19980817,8.65
467,19980818,8.13
468,19980819,8.6
469,19980820,9.06
470,19980821,9.17
471,19980824,9.16
472,19980825,9.04
473,19980826,9.73
474,19980827,9.37
475,19980828,9.04
476,19980831,9.15
477,19980901,9.16
478,19980902,9.28
479,19980903,9.57
480,19980904,9.58
481,19980907,9.84
482,19980908,9.64
483,19980909,9.89
484,19980910,10.12
485,19980911,10.1
486,19980914,10.51
487,19980915,10.3
488,19980916,10.25
489,19980917,10.1
490,19980918,9.7
491,19980921,9.89
492,19980922,9.85
493,19980923,10.25
494,19980924,10.27
495,19980925,10.9
496,19980928,11.08
497,19980929,11.13
498,19980930,11.22
499,19981005,11.29
500,19981006,10.8
501,19981007,10.63
502,19981008,10.85
503,19981009,11.36
504,19981012,11.51
505,19981013,11.32
506,19981014,11.23
507,19981015,11.44
508,19981016,11.54
509,19981019,11.8
510,19981020,11.63
511,19981021,11.36
512,19981022,11.63
513,19981023,11.38
514,19981026,11.28
515,19981027,11.58
516,19981028,12.01
517,19981029,11.71
518,19981030,11.7
519,19981102,11.88
520,19981103,12.04
521,19981104,11.99
522,19981105,11.88
523,19981106,11.58
524,19981109,11.65
525,19981110,11.56
526,19981111,11.66
527,19981112,11.38
528,19981113,11.88
529,19981116,11.64
530,19981117,11.44
531,19981118,11.58
532,19981119,11.33
533,19981120,11.29
534,19981123,11.39
535,19981124,11.2
536,19981125,11.18
537,19981126,10.9
538,19981127,10.67
539,19981202,10.5
540,19981203,10.37
541,19981204,10.09
542,19981207,9.85
543,19981208,9.88
544,19981209,10.29
545,19981210,10.0
546,19981211,9.92
547,19981214,9.34
548,19981215,9.3
549,19981216,9.1
550,19981217,8.92
551,19981218,8.92
552,19981221,9.07
553,19981222,9.39
554,19981223,9.36
555,19981224,9.25
556,19981225,9.23
557,19981228,9.15
558,19981229,9.01
559,19981230,9.11
560,19981231,9.0
561,19990104,8.8
562,19990105,8.69
563,19990106,8.8
564,19990107,8.69
565,19990108,9.17
566,19990111,9.28
567,19990112,9.27
568,19990113,9.3
569,19990114,9.54
570,19990115,8.98
571,19990118,9.26
572,19990119,9.24
573,19990120,9.12
574,19990121,9.28
575,19990122,9.29
576,19990125,9.0
577,19990126,8.71
578,19990127,8.93
579,19990128,8.74
580,19990129,8.71
581,19990201,8.57
582,19990202,8.75
583,19990203,8.78
584,19990204,8.58
585,19990205,8.27
586,19990208,8.26
587,19990209,8.46
588,19990301,8.51
589,19990302,8.74
590,19990303,8.97
591,19990304,8.85
592,19990305,9.1
593,19990308,9.25
594,19990309,9.12
595,19990310,9.14
596,19990311,9.3
597,19990312,9.58
598,19990315,9.75
599,19990316,9.6
600,19990317,9.4
601,19990318,9.14
602,19990319,9.5
603,19990322,9.35
604,19990323,9.25
605,19990324,9.21
606,19990325,9.17
607,19990326,9.29
608,19990329,9.54
609,19990330,9.43
610,19990331,9.31
611,19990401,9.42
612,19990402,9.57
613,19990405,9.93
614,19990406,9.71
615,19990407,9.58
616,19990408,9.5
617,19990409,9.34
618,19990412,8.72
619,19990413,8.79
620,19990414,8.79
621,19990415,8.75
622,19990416,8.6
623,19990419,8.74
624,19990420,8.79
625,19990421,8.57
626,19990422,8.48
627,19990423,8.46
628,19990426,8.28
629,19990427,8.3
630,19990428,8.35
631,19990429,8.6
632,19990430,8.64
633,19990504,8.82
634,19990505,8.86
635,19990506,8.78
636,19990507,8.85
637,19990510,8.8
638,19990511,9.08
639,19990512,9.09
640,19990513,8.99
641,19990517,9.17
642,19990518,9.15
643,19990521,9.74
644,19990524,10.2
645,19990525,10.48
646,19990526,9.98
647,19990527,9.96
648,19990528,10.11
649,19990531,9.55
650,19990601,9.75
651,19990602,9.35
652,19990603,9.4
653,19990604,9.52
654,19990607,9.8
655,19990608,9.69
656,19990609,10.18
657,19990610,10.02
658,19990611,10.5
659,19990614,11.39
660,19990615,10.66
661,19990616,11.14
662,19990617,10.88
663,19990618,10.83
664,19990621,11.25
665,19990622,11.75
666,19990623,11.74
667,19990624,11.8
668,19990625,10.8
669,19990628,11.24
670,19990629,12.36
671,19990630,11.79
672,19990701,10.61
673,19990702,11.1
674,19990705,10.8
675,19990706,10.71
676,19990707,10.88
677,19990708,11.14
678,19990709,11.0
679,19990712,10.67
680,19990713,10.15
681,19990714,10.24
682,19990715,9.93
683,19990716,9.44
684,19990719,9.38
685,19990720,9.95
686,19990721,10.09
687,19990722,9.55
688,19990723,9.71
689,19990726,10.0
690,19990727,9.97
691,19990728,10.05
692,19990729,10.0
693,19990730,10.2
694,19990802,10.44
695,19990803,10.38
696,19990804,10.49
697,19990805,10.58
698,19990806,10.35
699,19990810,9.9
700,19990811,9.83
701,19990812,9.85
702,19990813,9.8
703,19990816,9.56
704,19990817,9.75
705,19990818,9.89
706,19990819,10.61
707,19990820,10.65
708,19990823,10.87
709,19990824,10.73
710,19990825,10.64
711,19990826,10.67
712,19990827,11.24
713,19990830,11.01
714,19990831,11.36
715,19990901,11.2
716,19990902,11.32
717,19990903,11.71
718,19990906,11.72
719,19990907,11.85
720,19990908,11.4
721,19990909,11.99
722,19990913,11.99
723,19990914,12.44
724,19990915,12.45
725,19990916,12.4
726,19990917,12.22
727,19990920,11.78
728,19990921,11.81
729,19990922,11.85
730,19990923,11.62
731,19990924,11.64
732,19990927,11.41
733,19990928,11.32
734,19990929,11.22
735,19990930,11.13
736,19991008,10.92
737,19991011,10.95
738,19991012,11.04
739,19991013,10.86
740,19991014,10.75
741,19991015,11.13
742,19991018,10.74
743,19991019,10.3
744,19991020,10.47
745,19991021,10.31
746,19991022,10.73
747,19991025,10.5
748,19991026,10.52
749,19991027,11.0
750,19991028,10.77
751,19991029,10.59
752,19991101,10.85
753,19991102,10.84
754,19991103,10.75
755,19991104,10.49
756,19991105,10.53
757,19991108,10.79
758,19991109,10.65
759,19991110,10.63
760,19991111,10.65
761,19991112,10.65
762,19991115,10.9
763,19991116,10.77
764,19991117,11.15
765,19991118,11.19
766,19991119,11.23
767,19991122,11.4
768,19991123,11.33
769,19991124,11.06
770,19991125,10.9
771,19991126,10.96
772,19991129,11.11
773,19991130,11.0
774,19991201,11.25
775,19991202,11.63
776,19991203,11.53
777,19991206,11.4
778,19991207,11.5
779,19991208,11.3
780,19991209,11.15
781,19991210,11.3
782,19991213,11.29
783,19991214,11.18
784,19991215,11.26
785,19991216,10.96
786,19991217,10.73
787,19991221,10.5
788,19991222,10.57
789,19991223,10.37
790,19991224,10.38
791,19991227,9.84
792,19991228,9.8
793,19991229,9.59
794,19991230,9.7
795,20000104,10.0
796,20000105,10.77
797,20000106,10.9
798,20000107,11.0
799,20000110,10.92
800,20000111,10.93
801,20000112,10.51
802,20000113,10.3
803,20000114,10.11
804,20000117,10.35
805,20000118,10.19
806,20000119,10.42
807,20000120,10.86
808,20000121,10.61
809,20000124,11.67
810,20000125,11.6
811,20000126,12.76
812,20000127,14.04
813,20000128,15.44
814,20000214,16.98
815,20000215,18.6
816,20000216,18.99
817,20000217,17.09
818,20000218,15.85
819,20000221,14.41
820,20000222,15.56
821,20000223,16.56
822,20000224,16.2
823,20000225,16.49
824,20000228,18.13
825,20000229,17.15
826,20000301,16.38
827,20000302,16.65
828,20000303,16.86
829,20000306,15.8
830,20000307,15.64
831,20000308,16.02
832,20000309,16.18
833,20000310,15.94
834,20000313,16.35
835,20000314,15.66
836,20000315,15.78
837,20000316,15.3
838,20000317,15.82
839,20000320,15.98
840,20000321,16.7
841,20000322,16.4
842,20000323,16.33
843,20000324,16.13
844,20000327,16.5
845,20000328,16.89
846,20000329,17.66
847,20000330,17.62
848,20000331,17.36
849,20000403,17.5
850,20000404,17.36
851,20000405,17.58
852,20000406,17.58
853,20000407,17.48
854,20000410,17.0
855,20000411,16.71
856,20000412,16.84
857,20000413,17.38
858,20000414,16.9
859,20000417,16.55
860,20000418,16.6
861,20000419,16.77
862,20000420,16.7
863,20000421,16.38
864,20000424,15.85
865,20000425,15.75
866,20000426,15.92
867,20000427,15.83
868,20000428,16.05
869,20000508,15.96
870,20000509,16.64
871,20000510,16.0
872,20000511,15.8
873,20000512,15.98
874,20000515,16.0
875,20000517,16.2
876,20000518,16.34
877,20000519,17.62
878,20000522,19.36
879,20000523,19.38
880,20000524,18.6
881,20000525,19.0
882,20000526,20.79
883,20000529,20.94
884,20000530,21.47
885,20000531,21.53
886,20000601,20.7
887,20000602,20.3
888,20000605,19.44
889,20000606,20.0
890,20000607,19.79
891,20000608,19.15
892,20000609,19.2
893,20000612,19.16
894,20000613,19.55
895,20000614,19.37
896,20000615,19.51
897,20000616,19.44
898,20000619,19.14
899,20000620,19.22
900,20000621,19.33
901,20000622,19.23
902,20000623,19.29
903,20000626,19.7
904,20000627,19.21
905,20000628,19.25
906,20000629,19.1
907,20000630,18.0
908,20000703,18.0
909,20000704,18.09
910,20000705,17.96
911,20000706,17.51
912,20000707,17.75
913,20000710,17.5
914,20000711,17.4
915,20000712,17.23
916,20000713,17.77
917,20000714,17.9
918,20000717,18.2
919,20000718,18.04
920,20000719,17.71
921,20000720,17.87
922,20000721,18.17
923,20000724,18.98
924,20000725,18.65
925,20000726,18.9
926,20000727,18.76
927,20000728,18.58
928,20000731,18.75
929,20000801,18.44
930,20000802,18.4
931,20000803,18.07
932,20000804,17.72
933,20000807,17.76
934,20000808,17.9
935,20000809,18.05
936,20000810,17.85
937,20000811,18.0
938,20000814,18.19
939,20000815,18.82
940,20000816,18.5
941,20000817,18.33
942,20000818,18.24
943,20000821,18.35
944,20000822,17.95
945,20000823,18.21
946,20000824,17.6
947,20000825,17.5
948,20000828,18.15
949,20000829,17.85
950,20000830,17.56
951,20000831,17.3
952,20000901,17.24
953,20000904,17.16
954,20000905,17.04
955,20000906,16.25
956,20000907,16.5
957,20000908,16.3
958,20000911,16.13
959,20000912,16.24
960,20000913,16.26
961,20000914,16.04
962,20000915,16.18
963,20000918,16.18
964,20000919,15.85
965,20000920,16.2
966,20000921,16.24
967,20000922,16.2
968,20000925,16.3
969,20000926,16.7
970,20000927,16.69
971,20000928,18.36
972,20000929,18.0
973,20001009,18.55
974,20001010,18.44
975,20001011,18.89
976,20001012,18.69
977,20001013,18.17
978,20001016,17.74
979,20001017,17.8
980,20001018,17.95
981,20001019,17.8
982,20001020,18.17
983,20001023,18.42
984,20001024,18.33
985,20001025,18.57
986,20001026,18.26
987,20001027,18.18
988,20001030,18.06
989,20001031,18.0
990,20001101,18.18
991,20001102,18.4
992,20001103,18.5
993,20001106,19.25
994,20001107,19.26
995,20001108,18.74
996,20001109,18.85
997,20001110,18.59
998,20001113,18.47
999,20001114,18.94
1000,20001115,19.39
1001,20001116,21.33
1002,20001117,20.63
1003,20001120,20.77
1004,20001121,20.51
1005,20001122,20.23
1006,20001123,20.42
